Id,SalePrice
2658,115733.36139816711
2718,176941.2053899614
2414,205400.61491225258
1989,106308.36254263174
625,170914.65445370323
333,95398.88236104402
1327,105721.57820836946
858,158295.82109159246
95,188620.67160036662
1568,152704.97668345025
2482,161616.169030732
1364,125456.06579672481
2584,150042.3331787205
818,266510.05270551785
2673,159448.85313655293
2089,149567.51506450155
1297,148530.72386940286
790,120029.67886512875
2616,167486.9161946451
720,166807.78302080117
222,148000.03466585474
557,132133.68391878018
1148,184313.7241991263
2766,185176.38822648284
534,163936.95889173984
1452,122474.05280327641
630,133269.5120658315
2648,125924.88615535578
125,172718.80404419018
1904,83466.16218171938
1670,113193.86421820417
756,119225.4761203317
717,200401.36421135624
1032,151560.5389633278
852,208879.7947196235
1731,173154.14884953207
2639,112106.10661070577
2071,112658.37712703696
1267,111246.8823390845
1851,176323.4123593911
567,155114.68066381407
2439,205152.84356766983
1898,146015.55513063748
647,126364.87361155049
2256,203590.95837883092
979,98533.11392352427
1444,214476.2187148558
2485,123624.62770997724
157,129832.37701799537
88,131940.67464009082
2003,116198.5461828091
186,176281.34733655537
1425,231076.63089651093
2695,129915.50924152277
738,128472.31666489488
395,143987.3681752814
1353,183327.71299051776
1878,134500.8410413987
390,169703.08011864236
1456,232630.2208032356
1103,307008.56877913955
1387,121656.22571491708
2070,124121.22705630402
1199,184939.4226055597
2479,185227.54738913916
501,315821.4274923612
2362,111289.4218286235
1718,186423.02721836814
2188,100542.90039812405
1483,153357.78141634635
2557,114675.74362780974
437,358460.75828131265
2224,187922.70956255452
1628,163765.62751341786
397,138462.29932308992
587,203340.23561809075
971,172749.4088232359
2611,149169.640353891
1887,132191.75379327065
2399,354695.69239369745
2148,191912.9924524817
304,114513.00323654186
1997,127606.87082251604
2817,122462.35267867109
1431,206479.92170757093
427,327345.539641446
263,127944.0094423719
598,179571.97616787092
2895,216678.3417458922
687,129678.21832435625
1822,140921.25697392158
2191,100088.80980326363
179,115265.35616917364
1009,194694.31112204984
2010,134486.5419101574
1991,132748.00891080024
1411,150966.9600540856
1721,231588.7319898666
1144,188688.15089706093
593,212173.40745699612
575,335842.4510619001
1249,169137.0799045623
1604,131353.20786522885
1064,486382.4333513726
1923,145950.66320643906
1988,121925.89238313053
2325,177859.7833571476
114,202181.23580844965
2700,152909.5460879221
217,149786.63451040996
343,159645.65973611633
386,213469.08179000922
2005,133865.81070323774
2908,137141.63311721117
1814,230205.00735065088
2446,587275.0435860665
208,124210.8616216747
1679,108075.32375698256
822,322894.2244863349
6,192985.22838781454
1781,398121.13897112757
2397,268969.6981557211
2340,286316.2467432091
1618,180872.17628926467
2843,146443.38256036138
1061,368484.83651013806
2786,130795.56560562359
1935,131931.0128392453
1341,118531.09200583343
521,254790.22984437656
2136,141617.19296907136
996,205399.20983775062
227,160624.68398055216
135,170556.97321235263
1167,163396.07910624388
294,254782.39150561285
1776,193280.12396472588
540,144444.94271503662
1717,190245.39047112057
2303,125733.97308224025
116,173916.56829150394
127,138236.38054844592
1371,135490.464590077
1014,150819.5288100347
1507,133609.83001927193
702,119637.50618511066
750,149970.59044441054
261,155726.6838783582
1559,78097.6103154208
577,222290.66048857477
2812,192384.2423153868
2080,160441.8084440022
1368,119881.55818485808
2376,128509.68065684666
659,103457.53204646349
1235,135069.29306046365
332,95740.52556150174
1917,136147.85360294665
2094,246192.7738679317
1460,243469.0256955978
1471,218398.14890799127
1509,123599.52531577488
1922,127486.30027952822
433,510066.3081557073
460,238198.1753189141
1116,255584.23081308565
1137,147307.12774662796
53,175173.8816577315
2354,263074.547793828
1475,197457.24539826642
1761,716078.2820139908
842,146281.5251570715
2739,173042.12445138203
2509,152153.87510992683
1007,205504.40386493065
2610,175873.33570170696
1952,103121.55316363656
2719,175241.10339748938
2921,83113.34023005448
1966,141917.06711023152
292,134363.3510270896
1204,193157.24547690383
1829,264920.7885022796
2419,182196.6357048294
391,153930.56682468508
798,107361.98541598924
481,197741.9037738267
193,193520.85377172646
555,128436.77690200972
899,109981.26259613848
2357,186184.7795340785
328,130565.42563824316
1356,120896.9411577034
1154,120881.83197583642
1730,173238.850725899
2249,165551.59273348315
1119,276641.0590719597
2856,132160.84346882868
1394,132214.41636072553
2587,119692.25313392842
61,326919.1575462989
2661,164313.60620881757
2711,143508.3820752759
1147,166184.8471679651
757,133146.8870252139
2623,138308.54130800153
2378,152865.74551923317
1413,123815.09725418549
1722,216753.98104596094
1112,214815.33418446287
1623,191566.14206775118
1201,188194.25369077997
1513,121977.61897627551
957,287011.9075031494
1171,272134.5653879004
1145,196566.64174257065
2726,243639.87810356228
703,130633.86973889133
760,107274.33476719572
1964,145270.60891689092
2512,191472.53168031995
159,134904.7618174026
1281,167628.46627803566
468,178935.59345829417
290,121134.50513626952
665,104024.9701211779
1463,242292.05422958685
1792,229887.3104992342
923,168121.49508729152
500,265650.64149836154
1408,162049.97480462654
331,94451.77803589133
170,129320.2498483045
2192,101648.74807926833
2571,293119.1951396273
2314,176503.29548398094
2647,100577.76764385964
422,415777.71996326826
2457,372660.06093007815
1838,200395.8996307463
2805,226023.7139351317
1645,155937.39585346993
1711,296538.4026694469
2825,228664.91439525195
322,344270.7219212251
2103,238986.14583000995
342,121726.77922570749
600,119846.73213145023
488,185011.84586422803
1725,290136.14104428206
2246,268663.15118416084
2847,140639.24704719236
806,241699.05674320698
530,230386.08700602758
963,183491.07572053184
2678,109116.81317177702
171,96242.15311415565
2401,421915.2922792682
805,228152.01708531316
2259,212624.8153226396
1748,182462.99484638224
1361,126918.73836503451
1677,109919.3796790595
1406,144146.18418518722
2322,221526.93345235634
688,156114.83428244223
143,143216.91786906496
804,197096.96688497486
1214,177529.8837543495
2828,143960.5909219526
1999,168115.68729594507
2467,201445.8401780912
2665,147262.60592959682
1538,406536.9720015708
398,116225.13052567653
2822,132050.0288465593
2157,142100.77961632994
1856,199905.89541611035
1269,139787.48741297418
2570,119832.0402580138
2320,227548.58789885003
1517,115456.634287907
2304,132838.1226637625
1312,106054.30821406317
2012,153626.49869584505
506,224946.82549996025
2865,215509.04540242057
2367,99831.6485124465
554,97447.90864005576
238,130538.31024275026
1954,119111.97645665603
2488,161081.45328495622
2291,89861.9920395416
1969,144026.92917933877
2725,151680.92779974686
1482,143991.09523639723
2763,186881.74706520032
503,248520.01903771324
1584,238417.0987565015
1531,173622.09615278064
2210,176974.47848501857
459,318449.6914110361
556,127257.65478190733
1347,134999.34361536105
1290,94397.22663135128
1388,131715.64324501972
1571,201890.00085173178
2754,191758.32854561048
765,132720.83045969752
2494,130122.68058745614
2870,241874.64572730876
7,202678.39465446956
1114,248376.42838389275
2418,270422.50740774616
291,150217.1565691094
18,335601.6347114951
39,353217.684752161
1001,248060.44911427065
2442,229649.76931551646
616,138971.37540101566
2680,113249.78765086926
1414,127391.9540213935
289,147710.30068321063
40,235096.49708675686
860,134660.71918860232
409,127787.46794514493
673,139608.45358556064
2427,190213.0583763784
2036,186628.94146565988
2564,140362.16871480504
642,163752.89173941436
1008,192870.6826978452
1908,135178.67450356614
2519,200092.24780307038
1369,84823.39864067783
2855,172873.93563956663
712,100491.57000309449
1943,121117.03554342203
1958,121859.42971530263
107,166555.93702826428
2295,158953.66653706678
704,111089.69986633094
676,135373.45517637453
259,188941.16606901624
93,284990.27373260394
106,250502.44320482976
2315,174433.29031461195
1050,116990.48429352291
1095,199302.99171113843
2709,146370.0064968917
758,123095.29164633827
1496,149372.25340074557
2370,113010.26694280768
2458,254084.62783151
2733,142322.24016606048
161,269783.76477860863
726,151189.66866731382
845,210359.274478715
947,248660.14173629484
2232,106105.4540748045
2563,136748.01418395285
2299,141450.33066809588
211,109992.66568011325
605,145780.0024474304
1478,191286.3669071525
2247,268578.43386637367
2274,203390.02876198507
2869,213720.65826176404
967,216531.69466315
2656,120097.32855462846
667,185560.59373428384
1042,101087.19117453256
2023,170039.0747886287
2447,425429.5588248507
2055,140318.42478084136
2275,307837.0435429683
2204,172699.81113123187
1563,277955.0620818544
483,192132.2322281344
